stop_id,stop_name,stop_lat,stop_lon
1,Первомайский микрорайон,52.253608,104.234086
2,Вампилова,52.256917,104.236493
3,Ботанический Сад,52.261746,104.242402
4,Школа №55,52.258821,104.248898
5,Гуманитарный центр,52.253155,104.248164
6,Юридический институт,52.25078,104.252533
7,Институт МВД,52.257454,104.262952
8,Технический университет,52.263088,104.260023
9,Жуковского,52.269044,104.25732
10,Педучилище,52.27505,104.255879
11,Свердловский рынок,52.280158,104.253176
12,Гоголя,52.286007,104.250157
13,ул. Маяковского,52.287385,104.254015
14,Чкалова,52.288047,104.27385
15,Сквер им. Кирова,52.289184,104.278454
16,Художественный музей,52.283433,104.280771
17,Филармония,52.278085,104.285047
18,Центральный рынок,52.281521,104.292094
19,Центральный рынок,52.283529,104.294731
20,Завод им. Куйбышева,52.289587,104.296075
21,Институт зрения,52.290741,104.292792
22,Декабрьских Событий,52.291307,104.290415
23,Фортуна,52.295472,104.291901
24,ГПТУ №1 (временный),52.298898,104.297655
25,Гараж,52.306774,104.298979
26,Пшеничная,52.30775,104.304006
27,Онкодиспансер,52.309481,104.307496
28,Чапаева,52.312054,104.312546
29,Детская,52.313702,104.314874
30,Яковлева,52.316425,104.315812
31,Шевцова,52.318906,104.316862
32,Топкинский микрорайон,52.324797,104.321564
33,Топкинский микрорайон,52.325131,104.321958
34,Енисейская,52.321381,104.317999
35,Шевцова,52.318639,104.316661
36,Яковлева,52.31544,104.315351
37,Чапаева,52.311707,104.311802
38,Онкодиспансер,52.309655,104.307749
39,Гараж (временный),52.306314,104.299699
40,ГПТУ №1 (временный),52.302094,104.300655
41,Фортуна,52.295533,104.291773
42,Институт зрения,52.29064,104.292798
43,Кинотеатр Пионер,52.28921,104.293503
44,Тимирязева,52.284903,104.298952
45,Центральный рынок,52.281254,104.295778
46,Ленина,52.277049,104.285408
47,Художественный музей,52.282887,104.280977
48,Площадь графа Сперанского,52.288008,104.281831
49,Чкалова,52.288691,104.274805
50,Джамбула,52.290443,104.255059
51,Курорт Ангара,52.289673,104.247528
52,2-я Железнодорожная,52.285037,104.247387
53,Чайка,52.278807,104.250988
54,Шмидта,52.274606,104.253685
55,Жуковского,52.26971,104.25622
56,Технический университет,52.262183,104.260006
57,Институт МВД,52.257782,104.262314
58,Госуниверситет,52.248922,104.264025
59,Мегаполис,52.249057,104.260295
60,Юридический институт,52.250775,104.252722
61,Гуманитарный центр,52.252853,104.248457
62,Школа №55,52.259314,104.248371
63,Ботанический Сад,52.261581,104.241967
64,Вампилова,52.256467,104.235889
65,Первомайский микрорайон,52.25353,104.233953
